latitude,longitude,value
8.5149093,76.9435879,28.0
8.5637,76.8865,63.0
8.816428,78.099039,42.0
8.8787,76.6073,92.0
9.969447,76.321186,41.0
9.985653,76.281342,57.0
10.073232,76.302765,55.0
10.5324,76.2159,50.0
10.942451,76.978996,42.0
11.249077,75.784371,54.0
11.55358,76.55521,59.0
11.875,75.3732,75.0
11.9309,79.8027,35.0
12.21041,76.37376,70.0
12.415911,75.73505,41.0
12.733409,77.298051,69.0
12.88925,74.853,97.0
12.9099161,80.1076538,53.0
12.9135218,77.5950804,68.0
12.917348,77.622813,63.0
12.920984,77.584908,76.0
12.9352049,77.6814488,74.0
12.938539,77.5901,72.0
12.951913,77.539784,74.0
12.9533,80.2357,53.0
12.9756843,77.5660749,70.0
12.990328,77.5431385,57.0
13.0052189,80.2398125,50.0
13.008556,76.125258,89.0
13.0270199,77.494094,77.0
13.029152,77.585901,77.0
13.0664,80.2112,51.0
13.1036,80.2909,44.0
13.1276288,78.1570122,91.0
13.1278,80.2642,55.0
13.164544,80.26285,50.0
13.1662,80.2584,50.0
13.328028,75.797056,40.0
13.34194444,74.74694444,20.0
13.428828,77.731418,60.0
13.67,79.35,53.0
13.94,75.555917,47.0
14.4758,75.9052,90.0
15.34763,76.181767,88.0
15.351773,75.140726,107.0
15.411456,75.638133,58.0
16.172806,75.659694,38.0
16.208139,77.348417,176.0
16.5150833,80.5181667,98.0
16.7602,77.1428,121.0
16.802639,75.722694,50.0
16.9872867,81.7363176,104.0
17.321993,76.822628,182.0
17.349694,78.451437,156.0
17.460103,78.334361,119.0
17.5184,78.278777,143.0
17.5316895,78.218939,145.0
17.540891,78.358528,138.0
17.72,83.3,120.0
17.930306,77.482194,152.0
18.5011743,73.8165527,108.0
18.517754,73.8214883,132.0
18.530085,73.849598,122.0
18.640051,73.848956,116.0
18.897756,72.81332,157.0
18.91,72.82,138.0
18.96702,72.84214,162.0
18.9936162,72.8128113,154.0
19.000083,72.813993,133.0
19.008751,73.01662,177.0
19.044,73.0325,114.0
19.047,72.8746,146.0
19.04946,72.923,149.0
19.053536,72.84643,165.0
19.0627,72.84614,136.0
19.0863,72.8888,168.0
19.10078,72.87462,146.0
19.10861,72.83622,149.0
19.11074,72.86084,144.0
19.1135051,73.008978,147.0
19.13276,72.52048,140.0
19.1375,72.915056,137.0
19.175,72.9419,146.0
19.192056,72.9585188,216.0
19.2058,72.8682,178.0
19.23241,72.86895,152.0
19.25292,73.142019,185.0
19.3832,72.8204,143.0
19.645324,77.6345232,142.0
19.8389439,75.244448,103.0
19.9775302,79.2337086,140.0
20.0073285,73.7762427,90.0
20.362421,72.918013,174.0
20.9360711,85.1707021,113.0
21.152875,79.0517531,142.0
21.613267,73.010555,182.0
21.8004996,83.8396977,76.0
22.06047,88.109737,143.0
22.08815,82.13737,65.0
22.410802,73.097923,62.0
22.431,75.5213,183.0
22.49929,88.36917,143.0
22.51106,88.35142,143.0
22.5367507,88.3638022,144.0
22.5448082,88.3403691,148.0
22.55664,88.342674,149.0
22.5687319,88.2797276,219.0
22.58157048,88.41002457,142.0
22.611968,88.347422,232.0
22.624758,75.675238,149.0
22.629801,88.352017,204.0
22.9682591,76.064118,83.0
22.969611,72.6435,113.0
22.977134,72.553024,126.0
23.002657,72.591912,131.0
23.016834,72.625775,128.0
23.023389,72.515201,138.0
23.041137,72.456691,126.0
23.04307,72.562968,129.0
23.076793,72.627874,139.0
23.107969,72.574648,128.0
23.10844,77.511428,223.0
23.163798,72.677768,126.0
23.168606,79.932247,242.0
23.182719,75.768218,156.0
23.221714,72.654328,95.0
23.233584,77.400574,228.0
23.243639,72.68994,123.0
23.331731,75.045981,150.0
23.50016,80.23284,277.0
23.5404352,87.2892225,283.0
23.685297,86.945968,129.0
23.707909,86.41467,64.0
23.7176342,92.7192841,18.0
23.8628276,91.2887362,102.0
24.10897,82.64558,383.0
24.58434363,80.8549414,88.0
24.5886166,73.6321397,152.0
24.762518,84.982348,91.0
25.14389,75.821256,220.0
25.262326,82.995408,187.0
25.301778,82.996789,254.0
25.32393,82.99687,242.0
25.3505986,82.9083074,192.0
25.425602,81.917152,238.0
25.44919916,81.82735986,225.0
25.494,81.863,239.0
25.5586,91.8985,5.0
25.586562,85.043586,234.0
25.592539,85.227158,229.0
25.596727,85.085624,247.0
25.599486,85.113666,226.0
25.619651,85.147382,224.0
25.6635413,94.0989878,57.0
25.697189,85.2459,174.0
25.771061,73.340227,128.0
26.11442,85.39813,234.0
26.181742,91.78063,164.0
26.1875,91.744194,90.0
26.203442,78.193251,257.0
26.210536,78.171,194.0
26.268249,73.0193853,231.0
26.428282,80.327067,266.0
26.4703136,80.3229863,273.0
26.470859,74.646594,115.0
26.509954,80.249612,258.0
26.6883049,88.412668,93.0
26.730136,83.433859,280.0
26.766433,80.927299,262.0
26.83399722,80.8917361,268.0
26.8458805,80.9365541,251.0
26.86812,81.005119,252.0
26.8821003,80.9302753,251.0
26.902909,75.836858,199.0
26.90723,80.98579,249.0
26.9164092,75.7994901,194.0
26.9502929,75.730943,195.0
27.103358,93.679645,66.0
27.168897,78.37696,457.0
27.169338,78.03582,492.0
27.19412,77.96237,466.0
27.19862,77.92066,500.0
27.19865833,78.00598056,497.0
27.23711,78.01936,485.0
27.554793,76.611536,140.0
27.571409,77.655757,477.0
27.9002,76.9938,191.0
28.060249,76.113115,212.0
28.194909,76.862296,448.0
28.2068,76.7997,295.0
28.3419248,77.319699,488.0
28.360699,76.93609,336.0
28.376058,77.315741,597.0
28.39072,77.30059,466.0
28.406963,77.849831,520.0
28.422681,77.148944,418.0
28.4227,77.0667,434.0
28.4275,77.1465,383.0
28.4417,77.3217,481.0
28.4706914,77.1099364,445.0
28.47272,77.482,454.0
28.498571,77.26484,444.0
28.530785,77.271255,447.0
28.531346,77.190156,426.0
28.5447608,77.3231257,505.0
28.5504249,77.2159377,470.0
28.5512005,77.2735737,439.0
28.557054,77.453663,504.0
28.5627763,77.1180053,442.0
28.563262,77.186937,434.0
28.56789,77.250515,438.0
28.56923,77.393848,514.0
28.570173,76.933762,429.0
28.5710274,77.0719006,447.0
28.58028,77.233829,434.0
28.588333,77.221667,843.0
28.5898,77.3101,482.0
28.5918245,77.2273074,469.0
28.593883,76.270653,334.0
28.60909,77.0325413,441.0
28.611281,77.237738,438.0
28.623763,77.287209,441.0
28.6245479,77.3577104,658.0
28.636429,77.201067,440.0
28.639645,77.146263,453.0
28.646233,77.358075,574.0
28.647622,77.315809,488.0
28.6514781,77.1473105,497.0
28.656756,77.227234,473.0
28.6573814,77.1585447,465.0
28.6603346,77.3572563,561.0
28.6701,76.9254,284.0
28.672342,77.31526,448.0
28.674045,77.131023,445.0
28.6811736,77.3025234,441.0
28.684678,77.076574,471.0
28.685382,77.453839,562.0
28.695381,77.181665,502.0
28.699793,77.165453,499.0
28.710508,77.249485,471.0
28.725645,77.749675,477.0
28.7256504,77.2011573,453.0
28.732528,77.11992,471.0
28.73282,77.170633,489.0
28.7500499,77.1112615,445.0
28.757294,77.278792,635.0
28.7762,77.051074,475.0
28.806223,76.141105,303.0
28.815329,77.15301,448.0
28.822836,77.101981,466.0
28.825341,78.7213009,338.0
28.88528,78.7388,269.0
28.9535882,77.7622941,470.0
28.974801,77.213357,497.0
28.999264,77.7590354,476.0
29.0272,77.0621,343.0
29.06351,77.709723,422.0
29.14056,75.744941,386.0
29.307814,76.337619,393.0
29.4723508,77.7194031,337.0
29.497973,76.993331,666.0
29.5364,75.0158,297.0
29.6953,77.0027,453.0
29.8006,76.4155,482.0
30.0325454,76.5623046,220.0
30.1480566,77.2893471,655.0
30.349388,76.366642,302.0
30.649961,76.331442,256.0
30.735567,76.775714,104.0
30.736056,76.209694,220.0
30.751462,76.762879,100.0
30.9028,75.8086,214.0
31.321907,75.578914,178.0
31.62,74.876512,186.0
34.066206,74.81982,78.0
